case,A_h,phi_deg,n_waves,lambda_um,MI,dP
0_35H_170P_N3,0.35,170,3,800.0,0.21699031,21.0321438
0_37H_35P_N3,0.37,35,3,800.0,0.21274554,16.785116199999997
0_38H_10P_N2,0.38,10,2,1200.0,0.21090682,15.9771532
0_39H_95P_N7,0.39,95,7,342.85714285714283,0.22639761,25.170682
0_40H_15P_N3,0.4,15,3,800.0,0.21346221,16.8382933
0_40H_45P_N5,0.4,45,5,480.0,0.21989325,20.1105385
0_40H_75P_N3,0.4,75,3,800.0,0.21418903,18.283389
0_44H_25P_N3,0.44,25,3,800.0,0.21414829,17.1707411
0_48H_105P_N6,0.48,105,6,400.0,0.2312275,29.762402100000003
0_53H_20P_N5,0.53,20,5,480.0,0.22720542,22.9564905
0_55H_120P_N4,0.55,120,4,600.0,0.2293253,31.818203500000003
0_55H_90P_N4,0.55,90,4,600.0,0.2297862,26.7638158
0_55H_90P_N6,0.55,90,6,400.0,0.23718216,33.883336799999995
0_58H_100P_N5,0.58,100,5,480.0,0.23536151,34.594978399999995
0_59H_145P_N6,0.59,145,6,400.0,0.24690396,49.973431
0_60H_120P_N5,0.6,120,5,480.0,0.23984437,41.7219628
0_60H_135P_N5,0.6,135,5,480.0,0.2417002,45.520558
0_60H_15P_N5,0.6,15,5,480.0,0.23206063,25.1032518
0_60H_45P_N3,0.6,45,3,800.0,0.21873161,19.82584
0_60H_75P_N5,0.6,75,5,480.0,0.23466835,31.323863
0_60H_90P_N5,0.6,90,5,480.0,0.23620273,34.3745534
0_61H_135P_N4,0.61,135,4,600.0,0.23698301,42.6152861
0_62H_115P_N4,0.62,115,4,600.0,0.23492307,38.305218100000005
0_63H_110P_N6,0.63,110,6,400.0,0.24879253,48.868097999999996
0_64H_130P_N7,0.64,130,7,342.85714285714283,0.25932562,63.308624699999996
0_64H_145P_N3,0.64,145,3,800.0,0.23540967,45.3450052
0_65H_120P_N6,0.65,120,6,400.0,0.2531181,56.5887843
0_65H_90P_N5,0.65,90,5,480.0,0.24131061,39.656414
0_68H_95P_N6,0.68,95,6,400.0,0.25385627,52.662720500000006
0_69H_15P_N6,0.69,15,6,400.0,0.24853434,34.8384127
0_73H_70P_N3,0.73,70,3,800.0,0.22690335,27.8724184
0_74H_180P_N6,0.74,180,6,400.0,0.28072454,131.16129700000002
0_75H_105P_N5,0.75,105,5,480.0,0.25760868,66.56052749999999
0_78H_105P_N3,0.78,105,3,800.0,0.2401285,52.028762
0_78H_175P_N7,0.78,175,7,342.85714285714283,0.30144748,194.3220762
0_80H_105P_N3,0.8,105,3,800.0,0.24237597,56.6865884
0_80H_150P_N6,0.8,150,6,400.0,0.29431274,179.678057
0_80H_15P_N3,0.8,15,3,800.0,0.22504624,21.1192651
0_80H_165P_N6,0.8,165,6,400.0,0.29867268,208.84242250000003
0_80H_180P_N6,0.8,180,6,400.0,0.30085313,221.974374
0_80H_45P_N5,0.8,45,5,480.0,0.25096357,39.677393800000004
0_82H_165P_N7,0.82,165,7,342.85714285714283,0.3161428,268.1377309
0_83H_40P_N4,0.83,40,4,600.0,0.24011006,31.4438073
0_85H_150P_N7,0.85,150,7,342.85714285714283,0.32454552,285.29814869999996
0_85H_165P_N7,0.85,165,7,342.85714285714283,0.33050663,362.7647027
0_85H_175P_N8,0.85,175,8,300.0,0.34249598,418.2499846
0_85H_180P_N7,0.85,180,7,342.85714285714283,0.33365662,407.04176720000004
0_90H_150P_N7,0.9,150,7,342.85714285714283,0.35529839,420.6113789
0_90H_175P_N6,0.9,175,6,400.0,0.35454295,739.5706309999999
