case,A_h,phi_deg,n_waves,lambda_um,MI,dP
0H,0.0,0,0,0,0.209789,15.676300000000001
0_3H_0P_N2,0.3,0,2,1200,0.210743,15.95635
0_3H_0P_N3,0.3,0,3,800,0.212083,16.37495
0_3H_0P_N4,0.3,0,4,600,0.21381,17.03492
0_3H_0P_N5,0.3,0,5,480,0.215721,17.88172
0_3H_0P_N6,0.3,0,6,400,0.217666,18.88989
0_3H_0P_N8,0.3,0,8,300,0.221457,21.260839999999998
0_3H_120P_N2,0.3,120,2,1200,0.211295,17.196199999999997
0_3H_120P_N3,0.3,120,3,800,0.213284,18.15827
0_3H_120P_N4,0.3,120,4,600,0.214999,18.98189
0_3H_120P_N5,0.3,120,5,480,0.216685,19.783849999999997
0_3H_120P_N6,0.3,120,6,400,0.218397,20.59959
0_3H_120P_N8,0.3,120,8,300,0.221843,22.313670000000002
0_3H_150P_N2,0.3,150,2,1200,0.212608,18.02846
0_3H_150P_N3,0.3,150,3,800,0.214362,18.9736
0_3H_150P_N4,0.3,150,4,600,0.215879,19.75374
0_3H_150P_N5,0.3,150,5,480,0.217396,20.49114
0_3H_150P_N6,0.3,150,6,400,0.218969,21.22738
0_3H_150P_N8,0.3,150,8,300,0.225588,22.76605
0_3H_180P_N2,0.3,180,2,1200,0.213882,18.690910000000002
0_3H_180P_N3,0.3,180,3,800,0.215284,19.51554
0_3H_180P_N4,0.3,180,4,600,0.216593,20.22231
0_3H_180P_N5,0.3,180,5,480,0.217965,20.90153
0_3H_180P_N6,0.3,180,6,400,0.21943,21.585880000000003
0_3H_180P_N8,0.3,180,8,300,0.222515,23.03634
0_3H_30P_N2,0.3,30,2,1200,0.209948,15.72599
0_3H_30P_N3,0.3,30,3,800,0.211629,16.29682
0_3H_30P_N4,0.3,30,4,600,0.213484,17.02495
0_3H_30P_N5,0.3,30,5,480,0.215572,18.29168
0_3H_30P_N6,0.3,30,6,400,0.217437,18.89593
0_3H_30P_N8,0.3,30,8,300,0.221323,21.11467
0_3H_60P_N2,0.3,60,2,1200,0.209784,15.893540000000002
0_3H_60P_N3,0.3,60,3,800,0.211726,16.631259999999997
0_3H_60P_N4,0.3,60,4,600,0.213632,17.418400000000002
0_3H_60P_N5,0.3,60,5,480,0.215572,18.29168
0_3H_60P_N6,0.3,60,6,400,0.217522,19.24979
0_3H_60P_N8,0.3,60,8,300,0.221322,21.35037
0_3H_90P_N2,0.3,90,2,1200,0.210271,16.42184
0_3H_90P_N3,0.3,90,3,800,0.212327,17.303639999999998
0_3H_90P_N4,0.3,90,4,600,0.214182,18.1283
0_3H_90P_N5,0.3,90,5,480,0.216021,18.97919
0_3H_90P_N6,0.3,90,6,400,0.217868,19.875429999999998
0_3H_90P_N8,0.3,90,8,300,0.221513,21.79369
0_5H_0P_N2,0.5,0,2,1200,0.212438,16.44309
0_5H_0P_N3,0.5,0,3,800,0.216103,17.699659999999998
0_5H_0P_N4,0.5,0,4,600,0.220704,19.56072
0_5H_0P_N5,0.5,0,5,480,0.225697,22.01208
0_5H_0P_N6,0.5,0,6,400,0.230705,24.96536
0_5H_0P_N8,0.5,0,8,300,0.240189,31.823169999999998
0_5H_120P_N2,0.5,120,2,1200,0.216243,21.96974
0_5H_120P_N3,0.5,120,3,800,0.221174,25.135520000000003
0_5H_120P_N4,0.5,120,4,600,0.225514,27.79196
0_5H_120P_N5,0.5,120,5,480,0.229785,30.4195
0_5H_120P_N6,0.5,120,6,400,0.234023,33.10031
0_5H_120P_N8,0.5,120,8,300,0.24225,38.45726
0_5H_150P_N2,0.5,150,2,1200,0.219447,24.98783
0_5H_150P_N3,0.5,150,3,800,0.224049,28.446740000000002
0_5H_150P_N4,0.5,150,4,600,0.227983,31.10721
0_5H_150P_N5,0.5,150,5,480,0.231853,33.5896
0_5H_150P_N6,0.5,150,6,400,0.235734,36.03868
0_5H_150P_N8,0.5,150,8,300,0.243399,40.82865
0_5H_180P_N2,0.5,180,2,1200,0.222133,27.03574
0_5H_180P_N3,0.5,180,3,800,0.226126,30.35285
0_5H_180P_N4,0.5,180,4,600,0.229657,32.87648
0_5H_180P_N5,0.5,180,5,480,0.233222,35.21425
0_5H_180P_N6,0.5,180,6,400,0.236855,37.51287
0_5H_180P_N8,0.5,180,8,300,0.24411,42.0242
0_5H_30P_N2,0.5,30,2,1200,0.211313,16.243299999999998
0_5H_30P_N3,0.5,30,3,800,0.21552,17.80599
0_5H_30P_N4,0.5,30,4,600,0.220284,19.82969
0_5H_30P_N5,0.5,30,5,480,0.225323,22.37471
0_5H_30P_N6,0.5,30,6,400,0.230374,25.328429999999997
0_5H_30P_N8,0.5,30,8,300,0.239929,31.91655
0_5H_60P_N2,0.5,60,2,1200,0.211662,17.13794
0_5H_60P_N3,0.5,60,3,800,0.216333,19.176479999999998
0_5H_60P_N4,0.5,60,4,600,0.221127,21.42224
0_5H_60P_N5,0.5,60,5,480,0.226058,24.03746
0_5H_60P_N6,0.5,60,6,400,0.230952,26.980629999999998
0_5H_60P_N8,0.5,60,8,300,0.240213,33.357409999999994
0_5H_90P_N2,0.5,90,2,1200,0.213421,19.11988
0_5H_90P_N3,0.5,90,3,800,0.218361,21.74053
0_5H_90P_N4,0.5,90,4,600,0.223008,24.23384
0_5H_90P_N5,0.5,90,5,480,0.227662,26.90522
0_5H_90P_N6,0.5,90,6,400,0.232264,29.767020000000002
0_5H_90P_N8,0.5,90,8,300,0.241054,35.72029
0_7H_0P_N2,0.7,0,2,1200,0.214971,17.23536
0_7H_0P_N3,0.7,0,3,800,0.22204,19.77118
0_7H_0P_N4,0.7,0,4,600,0.230828,23.63266
0_7H_0P_N5,0.7,0,5,480,0.240366,28.847910000000002
0_7H_0P_N6,0.7,0,6,400,0.250033,35.2812
0_7H_0P_N8,0.7,0,8,300,0.268381,50.7855
0_7H_120P_N2,0.7,120,2,1200,0.226261,36.43672
0_7H_120P_N3,0.7,120,3,800,0.236286,46.3108
0_7H_120P_N4,0.7,120,4,600,0.245005,54.64219
0_7H_120P_N5,0.7,120,5,480,0.253402,62.786789999999996
0_7H_120P_N6,0.7,120,6,400,0.261591,70.88036000000001
0_7H_120P_N8,0.7,120,8,300,0.277223,86.29881
0_7H_150P_N2,0.7,150,2,1200,0.233848,50.573750000000004
0_7H_150P_N3,0.7,150,3,800,0.243901,63.576240000000006
0_7H_150P_N4,0.7,150,4,600,0.252055,73.00136
0_7H_150P_N5,0.7,150,5,480,0.259711,81.33171999999999
0_7H_150P_N6,0.7,150,6,400,0.26713,89.14722
0_7H_150P_N8,0.7,150,8,300,0.281354,103.51839
0_7H_180P_N2,0.7,180,2,1200,0.239435,59.67047
0_7H_180P_N3,0.7,180,3,800,0.248729,73.5817
0_7H_180P_N4,0.7,180,4,600,0.256257,83.07923000000001
0_7H_180P_N5,0.7,180,5,480,0.263351,91.15676
0_7H_180P_N6,0.7,180,6,400,0.270258,98.62152999999999
0_7H_180P_N8,0.7,180,8,300,0.283418,112.45726
0_7H_30P_N2,0.7,30,2,1200,0.213673,17.255
0_7H_30P_N3,0.7,30,3,800,0.221516,20.38158
0_7H_30P_N4,0.7,30,4,600,0.230535,24.65044
0_7H_30P_N5,0.7,30,5,480,0.24014,30.17708
0_7H_30P_N6,0.7,30,6,400,0.249811,36.83195
0_7H_30P_N8,0.7,30,8,300,0.268113,52.45385
0_7H_60P_N2,0.7,60,2,1200,0.215182,19.766280000000002
0_7H_60P_N3,0.7,60,3,800,0.223875,24.2243
0_7H_60P_N4,0.7,60,4,600,0.233014,29.43596
0_7H_60P_N5,0.7,60,5,480,0.242464,35.70077
0_7H_60P_N6,0.7,60,6,400,0.251888,42.89862
0_7H_60P_N8,0.7,60,8,300,0.26968,58.99522
0_7H_90P_N2,0.7,90,2,1200,0.219523,25.73073
0_7H_90P_N3,0.7,90,3,800,0.229004,32.4464
0_7H_90P_N4,0.7,90,4,600,0.238062,39.13425
0_7H_90P_N5,0.7,90,5,480,0.247094,46.433420000000005
0_7H_90P_N6,0.7,90,6,400,0.256018,54.271390000000004
0_7H_90P_N8,0.7,90,8,300,0.272901,70.47708
0_9H_0P_N2,0.9,0,2,1200,0.218331,18.29263
0_9H_0P_N3,0.9,0,3,800,0.229873,22.73421
0_9H_0P_N4,0.9,0,4,600,0.244222,29.70694
0_9H_0P_N5,0.9,0,5,480,0.260001,39.395439999999994
0_9H_0P_N6,0.9,0,6,400,0.276231,51.769330000000004
0_9H_0P_N8,0.9,0,8,300,0.308069,82.77771
0_9H_120P_N2,0.9,120,2,1200,0.247856,106.39888
0_9H_120P_N3,0.9,120,3,800,0.267511,146.0872
0_9H_120P_N4,0.9,120,4,600,0.283741,173.32541
0_9H_120P_N5,0.9,120,5,480,0.299168,194.15945000000002
0_9H_120P_N6,0.9,120,6,400,0.314698,210.88388999999998
0_9H_120P_N8,0.9,120,8,300,0.348707,237.51256
0_9H_150P_N2,0.9,150,2,1200,0.271801,275.63649000000004
0_9H_150P_N3,0.9,150,3,800,0.294752,352.91512
0_9H_150P_N4,0.9,150,4,600,0.311214,386.40619999999996
0_9H_150P_N5,0.9,150,5,480,0.325808,403.29900000000004
0_9H_150P_N6,0.9,150,6,400,0.340169,413.27492
0_9H_150P_N8,0.9,150,8,300,0.353825,429.44602
0_9H_180P_N2,0.9,180,2,1200,0.28884,449.59208
0_9H_180P_N3,0.9,180,3,800,0.313087,592.9923
0_9H_180P_N4,0.9,180,4,600,0.329546,670.87558
0_9H_180P_N5,0.9,180,5,480,0.343208,722.8639300000001
0_9H_180P_N6,0.9,180,6,400,0.355575,761.62885
0_9H_180P_N8,0.9,180,8,300,0.379174,817.2713200000001
0_9H_30P_N2,0.9,30,2,1200,0.21705,18.81179
0_9H_30P_N3,0.9,30,3,800,0.229705,24.43216
0_9H_30P_N4,0.9,30,4,600,0.244475,32.47603
0_9H_30P_N5,0.9,30,5,480,0.260424,43.24959
0_9H_30P_N6,0.9,30,6,400,0.276711,56.66216
0_9H_30P_N8,0.9,30,8,300,0.308591,89.06648
0_9H_60P_N2,0.9,60,2,1200,0.220689,24.80746
0_9H_60P_N3,0.9,60,3,800,0.235053,34.228300000000004
0_9H_60P_N4,0.9,60,4,600,0.250403,45.90752
0_9H_60P_N5,0.9,60,5,480,0.266457,60.279199999999996
0_9H_60P_N6,0.9,60,6,400,0.28265,76.76872999999999
0_9H_60P_N8,0.9,60,8,300,0.314482,112.25148
0_9H_90P_N2,0.9,90,2,1200,0.230378,44.04148
0_9H_90P_N3,0.9,90,3,800,0.247125,63.069399999999995
0_9H_90P_N4,0.9,90,4,600,0.263095,82.33269
0_9H_90P_N5,0.9,90,5,480,0.279041,102.23878
0_9H_90P_N6,0.9,90,6,400,0.294922,121.76321
0_9H_90P_N8,0.9,90,8,300,0.326833,157.01757999999998
